,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,proj_marcel
80,Bimbo Coles,29.0,0.06,2207.0,0.091,2615.0,0.019,1183.0,0.029,1471.0,0.0781564552922
81,Marvin Williams,26.0,0.112,2468.0,0.102,1865.0,0.156,1500.0,0.063,1727.0,0.125551021645
83,Jodie Meeks,26.0,0.12,2062.0,0.12,1644.0,0.085,1663.0,0.084,2556.0,0.103026619238
84,Tom Gugliotta,32.0,0.165,1563.0,0.14,1767.0,0.073,1159.0,0.04,1129.0,0.105037828387
85,Kevin Willis,35.0,0.073,2390.0,0.05,2135.0,0.093,1964.0,0.114,2528.0,0.0897791860913
86,Adonal Foyle,25.0,-0.009,656.0,0.087,614.0,0.055,1654.0,0.022,1457.0,0.084282200394
88,Elton Brand,23.0,0.121,2999.0,0.101,2906.0,0.216,3020.0,0.149,2454.0,0.162616093782
90,Udonis Haslem,31.0,0.106,2560.0,0.132,2177.0,0.13,345.0,0.106,1589.0,0.117064671989
91,Steve Smith,33.0,0.186,2689.0,0.155,2542.0,0.139,2211.0,0.117,1032.0,0.132017450033
92,Derek Anderson,27.0,0.105,978.0,0.073,2201.0,0.166,2859.0,0.137,1860.0,0.132546361125
93,Derek Anderson,32.0,0.097,1810.0,0.052,1239.0,0.074,1047.0,0.117,1190.0,0.0897687912453
94,Reggie Evans,27.0,0.096,1881.0,0.072,1393.0,0.096,1127.0,0.068,1879.0,0.0996508600285
95,Travis Best,27.0,0.096,2064.0,0.103,1547.0,0.097,1043.0,0.145,1691.0,0.10490802099
96,Manu Ginobili,32.0,0.246,2060.0,0.232,2299.0,0.203,1181.0,0.216,2150.0,0.167372167462
97,Markieff Morris,25.0,0.059,1227.0,0.044,1837.0,0.143,2153.0,0.085,2581.0,0.114751099204
98,Keon Clark,26.0,0.029,409.0,0.109,1850.0,0.104,1720.0,0.116,2185.0,0.107738296016
99,Christian Laettner,32.0,0.101,337.0,0.1,2443.0,0.124,1663.0,0.086,1441.0,0.111841443948
100,Caron Butler,34.0,0.059,1871.0,0.091,1879.0,0.062,1419.0,0.07,1623.0,0.0876063635268
101,Jeff Foster,27.0,0.113,1152.0,0.113,1786.0,0.098,802.0,0.202,1961.0,0.108241134342
102,Paul Pierce,37.0,0.161,2075.0,0.135,2575.0,0.119,2098.0,0.138,1914.0,0.11785564061
103,Nikola Vucevic,24.0,0.109,812.0,0.106,2559.0,0.116,1812.0,0.133,2529.0,0.11305871021
104,Delonte West,25.0,0.114,2418.0,0.081,2219.0,0.041,1533.0,0.142,2152.0,0.0814882705354
105,Andrew Bogut,26.0,0.085,2720.0,0.112,1124.0,0.161,2229.0,0.112,2297.0,0.134185780312
107,David Lee,25.0,0.116,1129.0,0.191,1731.0,0.151,2356.0,0.154,2824.0,0.142441599432
108,Dana Barros,30.0,0.183,3318.0,0.116,2328.0,0.065,708.0,0.16,1686.0,0.106665135622
110,Rasheed Wallace,28.0,0.156,2845.0,0.18,2940.0,0.158,2963.0,0.151,2684.0,0.147690746512
112,Timofey Mozgov,27.0,0.053,524.0,0.074,687.0,0.096,366.0,0.123,1770.0,0.103497524834
113,Dwyane Wade,29.0,0.082,1954.0,0.232,3048.0,0.224,2792.0,0.218,2823.0,0.186881098362
114,Walt Williams,27.0,0.089,2739.0,0.112,2169.0,0.098,2647.0,0.071,1470.0,0.104316524779
116,Yao Ming*,25.0,0.176,2382.0,0.202,2692.0,0.21,2447.0,0.211,1949.0,0.175870455571
117,LaMarcus Aldridge,27.0,0.145,2922.0,0.166,3211.0,0.169,1994.0,0.124,2790.0,0.147344256489
118,Brandon Jennings,23.0,0.075,2671.0,0.086,2169.0,0.114,2331.0,0.096,2897.0,0.108595239101
119,Sam Cassell,30.0,0.108,1714.0,0.152,2606.0,0.187,199.0,0.152,2899.0,0.12781315183
120,LaPhonso Ellis,31.0,0.074,539.0,0.07,1309.0,0.127,1948.0,0.063,1684.0,0.111551225991
122,Chris Mills,28.0,0.091,2814.0,0.122,3060.0,0.134,3167.0,0.113,2183.0,0.123443847654
123,Chris Duhon,27.0,0.121,1906.0,0.075,1490.0,0.069,2906.0,0.045,2072.0,0.0850298200377
124,DeAndre Jordan,25.0,0.122,2047.0,0.15,1798.0,0.148,2010.0,0.186,2870.0,0.134094321096
125,Michael Redd,28.0,0.105,2848.0,0.166,3130.0,0.145,2036.0,0.104,2702.0,0.136385246774
126,Nick Young,25.0,0.017,1158.0,0.03,1837.0,0.046,1421.0,0.065,2034.0,0.0723844855625
127,Timofey Mozgov,28.0,0.074,687.0,0.096,366.0,0.123,1770.0,0.133,2045.0,0.114900866824
128,Kendrick Perkins,30.0,0.056,1744.0,0.062,1954.0,0.031,1207.0,0.006,1148.0,0.0745942551561
129,Detlef Schrempf,35.0,0.215,2886.0,0.179,2200.0,0.174,2192.0,0.182,2742.0,0.150843874657
130,Toni Kukoc,29.0,0.185,2584.0,0.231,2103.0,0.204,1610.0,0.15,2235.0,0.168996565255
131,Alonzo Mourning*,27.0,0.153,2941.0,0.178,2671.0,0.174,2320.0,0.185,1939.0,0.152702785317
132,Kevin Garnett,30.0,0.272,3231.0,0.248,3121.0,0.242,2957.0,0.171,2995.0,0.204148836104
133,Jamaal Magloire,28.0,0.131,2777.0,0.019,703.0,0.039,2465.0,0.032,1703.0,0.0688385830123
134,Eddie House,31.0,0.094,946.0,0.127,1480.0,0.158,1479.0,0.042,1217.0,0.129058232991
135,Antonio Davis,30.0,0.137,2092.0,0.106,2335.0,0.162,2191.0,0.151,1271.0,0.13138498354
136,Tyronn Lue,24.0,0.062,188.0,0.103,146.0,0.042,468.0,0.067,1458.0,0.0977812279102
137,Elton Brand,25.0,0.216,3020.0,0.149,2454.0,0.174,2670.0,0.169,3001.0,0.151853156697
139,Vin Baker,32.0,0.04,2129.0,0.061,1710.0,0.082,942.0,0.101,1313.0,0.0898891980287
142,Kyle Lowry,27.0,0.13,2563.0,0.156,1510.0,0.133,2020.0,0.197,2862.0,0.127141535554
144,Kevin Ollie,31.0,0.075,925.0,0.066,1723.0,0.097,1897.0,0.083,1401.0,0.096550861549
