,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,proj_marcel
343,Avery Johnson,34.0,0.066,2472.0,0.12,2674.0,0.111,1672.0,0.117,2571.0,0.109754541552
344,Ty Lawson,25.0,0.135,1318.0,0.153,2103.0,0.157,2124.0,0.141,2513.0,0.139666429057
345,Jeff Teague,26.0,0.131,2183.0,0.111,2628.0,0.098,2542.0,0.166,2228.0,0.106073908242
346,Mike Conley,24.0,0.086,2508.0,0.074,2569.0,0.111,2872.0,0.141,2174.0,0.105016803097
347,Sherman Douglas,31.0,0.099,2048.0,0.068,2335.0,0.095,2316.0,0.112,1699.0,0.0948490516147
348,Jim McIlvaine,27.0,0.098,1477.0,0.075,1211.0,0.053,269.0,0.068,1048.0,0.0978380392611
349,Stanislav Medvedenko,24.0,0.126,39.0,0.118,729.0,0.032,620.0,0.101,1442.0,0.0949480577265
350,Tyson Chandler,32.0,0.22,2061.0,0.207,2164.0,0.143,1662.0,0.216,2286.0,0.14292798392
352,Glen Davis,26.0,0.108,1637.0,0.084,933.0,0.102,2298.0,0.057,1427.0,0.104602760792
353,Shelden Williams,28.0,0.048,512.0,0.162,597.0,0.102,911.0,0.078,1276.0,0.110983744101
356,Donyell Marshall,24.0,0.007,2086.0,0.065,934.0,0.059,1022.0,0.078,2611.0,0.0868766919924
357,Mike James,33.0,0.125,2925.0,0.065,2069.0,0.023,720.0,-0.004,1649.0,0.0820675216762
360,Calbert Cheaney,27.0,0.065,2324.0,0.077,2411.0,0.069,2841.0,0.016,1266.0,0.0836453054484
361,Lou Williams,28.0,0.174,1682.0,0.103,1119.0,0.087,1445.0,0.157,2016.0,0.102300209834
363,Johnny Newman,36.0,0.065,2060.0,0.06,2176.0,0.059,949.0,0.095,1763.0,0.0828060612699
364,Anfernee Hardaway,28.0,0.175,2221.0,0.085,625.0,0.122,1944.0,0.165,2253.0,0.116090863635
365,Willie Green,31.0,0.067,1553.0,0.052,1674.0,0.122,922.0,0.103,1188.0,0.0999928947956
366,Dickey Simpkins,27.0,0.006,395.0,0.068,433.0,0.095,1448.0,-0.021,1651.0,0.101246325054
368,Voshon Lenard,28.0,0.073,190.0,0.1,1434.0,0.072,2331.0,0.049,1665.0,0.0901813393982
370,Brandon Bass,26.0,0.124,1574.0,0.147,648.0,0.153,1980.0,0.122,1868.0,0.133767233301
371,Shane Battier,34.0,0.095,2168.0,0.103,2375.0,0.104,1499.0,0.119,1786.0,0.10463566831
372,J.J. Hickson,25.0,0.032,2256.0,0.066,1244.0,0.142,2323.0,0.086,1859.0,0.11963414649
373,Pau Gasol,28.0,0.184,3135.0,0.155,2133.0,0.172,2351.0,0.223,2999.0,0.147624415513
374,P.J. Brown,37.0,0.142,2753.0,0.118,2817.0,0.088,2380.0,0.075,1456.0,0.101384331612
378,Steve Nash,31.0,0.206,2711.0,0.162,2612.0,0.203,2573.0,0.212,2796.0,0.163644861094
379,Juwan Howard,36.0,0.11,2123.0,0.016,353.0,0.067,472.0,0.077,1632.0,0.0953676047328
380,Al Harrington,22.0,0.057,854.0,0.031,1892.0,0.094,1313.0,0.075,2467.0,0.0907562353842
383,Andre Iguodala,26.0,0.12,3062.0,0.143,3242.0,0.134,3269.0,0.101,3193.0,0.129601067187
385,Josh Smith,27.0,0.155,2871.0,0.116,2645.0,0.139,2329.0,0.075,2683.0,0.125443320118
386,Jamal Crawford,26.0,0.069,2811.0,0.075,2688.0,0.084,2555.0,0.069,2198.0,0.0909560324638
390,Danny Granger,26.0,0.111,2785.0,0.122,2876.0,0.158,2424.0,0.131,2278.0,0.134048811681
391,Paul George,23.0,0.091,1265.0,0.148,1958.0,0.145,2972.0,0.178,2898.0,0.135781693574
393,Jim McIlvaine,25.0,0.074,534.0,0.074,1195.0,0.098,1477.0,0.075,1211.0,0.101631595448
394,Walt Williams,32.0,0.114,1859.0,0.09,1583.0,0.073,1117.0,0.103,1161.0,0.0948089985252
395,Ryan Gomes,27.0,0.089,2275.0,0.096,2434.0,0.046,2614.0,0.052,2210.0,0.0775503298855
397,Byron Mullens,23.0,-0.077,54.0,-0.113,85.0,0.007,1465.0,0.005,1428.0,0.0640036880083
399,Jeff Hornacek,36.0,0.19,2592.0,0.186,2460.0,0.176,1435.0,0.147,2133.0,0.148679406005
400,Zaza Pachulia,25.0,0.114,2026.0,0.054,944.0,0.127,1473.0,0.121,1089.0,0.11217814902
404,D.J. White,25.0,0.157,130.0,0.276,102.0,0.128,685.0,0.034,1098.0,0.118772657781
405,John Salmons,33.0,0.121,2824.0,0.081,2554.0,0.014,1250.0,0.034,2278.0,0.075102134365
407,Brandon Bass,28.0,0.153,1980.0,0.122,1868.0,0.101,2239.0,0.107,2266.0,0.108830468694
409,George McCloud,32.0,0.102,1493.0,0.096,1213.0,0.127,1245.0,0.086,2118.0,0.112565982271
410,Reggie Evans,28.0,0.072,1393.0,0.096,1127.0,0.068,1879.0,0.079,1137.0,0.0892943071033
414,Speedy Claxton,27.0,0.125,471.0,0.127,1595.0,0.096,1866.0,0.072,2019.0,0.107057903213
416,Robert Horry,27.0,0.097,2074.0,0.089,2634.0,0.098,1395.0,0.144,2192.0,0.101110193544
417,Shane Battier,26.0,0.074,3097.0,0.126,2383.0,0.145,1947.0,0.149,2516.0,0.12622011249
418,Tyrus Thomas,23.0,0.11,966.0,0.088,1330.0,0.101,2175.0,0.103,1220.0,0.105179110941
419,Delonte West,28.0,0.142,2152.0,0.106,1500.0,0.093,453.0,0.098,1060.0,0.107994739817
421,Brevin Knight,31.0,0.078,1037.0,0.11,1944.0,0.101,2351.0,0.07,1273.0,0.104708792541
423,Chucky Atkins,31.0,0.053,1398.0,0.085,1544.0,0.074,2903.0,0.1,1713.0,0.0866003632533
424,Shareef Abdur-Rahim,27.0,0.126,3241.0,0.116,2980.0,0.151,3087.0,0.145,2684.0,0.131888646381
425,Pooh Richardson,31.0,0.036,2864.0,0.091,2013.0,0.043,1065.0,0.006,1252.0,0.0839177545454
426,Taj Gibson,29.0,0.167,1284.0,0.109,1459.0,0.117,2351.0,0.137,1692.0,0.113864411559
429,Ray Allen,33.0,0.15,3022.0,0.136,2219.0,0.177,2624.0,0.186,2876.0,0.145397350737
430,LeBron James,27.0,0.318,3054.0,0.299,2966.0,0.244,3063.0,0.298,2326.0,0.218100435773
431,Brad Miller,30.0,0.184,2621.0,0.198,2089.0,0.15,2923.0,0.072,1783.0,0.144536775521
432,Brad Miller,26.0,0.192,961.0,0.114,1434.0,0.176,2263.0,0.202,2270.0,0.14374142295
433,Ronny Turiaf,26.0,0.115,161.0,0.137,1087.0,0.137,1458.0,0.101,1696.0,0.124441891128
436,Russell Westbrook,23.0,0.035,2668.0,0.105,2813.0,0.159,2847.0,0.163,2331.0,0.132457057626
437,Mickael Pietrus,24.0,0.095,748.0,0.075,1340.0,0.024,1179.0,0.088,1937.0,0.0779049139346
439,Tyler Hansbrough,29.0,0.129,1442.0,0.154,1366.0,0.149,978.0,0.156,1058.0,0.128030844101
441,Kyle Korver,26.0,0.119,2667.0,0.086,2563.0,0.097,2288.0,0.116,1732.0,0.100785659711
442,Mookie Blaylock,30.0,0.147,3069.0,0.149,2893.0,0.197,3056.0,0.099,2700.0,0.159825221351
443,Brian Cardinal,27.0,0.201,43.0,0.051,15.0,0.212,1634.0,0.116,1433.0,0.157788888373
444,Chauncey Billups,34.0,0.257,2522.0,0.174,2789.0,0.182,2490.0,0.166,2310.0,0.156735172689
445,Rasheed Wallace,26.0,0.125,2896.0,0.169,1414.0,0.156,2845.0,0.18,2940.0,0.141636613132
446,Gary Payton*,33.0,0.172,2008.0,0.195,3425.0,0.16,3244.0,0.183,3301.0,0.151958571949
447,Shareef Abdur-Rahim,26.0,0.132,3223.0,0.126,3241.0,0.116,2980.0,0.151,3087.0,0.117710234359
449,Gary Trent,29.0,0.057,319.0,0.125,1140.0,0.128,1222.0,0.106,1025.0,0.117421663328
450,Michael Olowokandi,29.0,0.029,2568.0,-0.006,1369.0,0.061,925.0,0.048,1215.0,0.0745578811443
451,Devin Harris,29.0,0.057,2221.0,0.089,2254.0,0.115,1741.0,0.111,1421.0,0.105764790494
452,Michael Redd,26.0,0.167,2316.0,0.154,3021.0,0.105,2848.0,0.166,3130.0,0.118893682509
453,Arvydas Sabonis*,36.0,0.2,2333.0,0.207,1349.0,0.203,1688.0,0.138,1299.0,0.15982609281
456,Trevor Ariza,29.0,0.078,1350.0,0.102,1471.0,0.141,2723.0,0.108,2930.0,0.124159620297
457,Jason Williams,31.0,0.122,2115.0,0.106,1952.0,0.124,1874.0,0.11,1865.0,0.114461362458
459,Shaun Livingston,26.0,0.074,231.0,0.07,796.0,0.073,1261.0,0.055,1092.0,0.0932877292778
460,Darrell Armstrong,30.0,0.158,41.0,0.085,1010.0,0.096,1236.0,0.205,1502.0,0.101653222045
461,Reggie Miller*,34.0,0.2,2966.0,0.206,2795.0,0.172,1787.0,0.162,2987.0,0.155665944405
462,Rudy Gay,28.0,0.12,2422.0,0.072,2687.0,0.091,2531.0,0.122,2408.0,0.0942945703547
463,Terry Porter,35.0,0.085,2072.0,0.082,1568.0,0.139,1786.0,0.178,1365.0,0.115085032083
465,A.C. Green,37.0,0.095,2649.0,0.074,924.0,0.124,1929.0,0.11,1411.0,0.110329352692
467,Charles Oakley,34.0,0.138,1567.0,0.15,1775.0,0.149,2873.0,0.122,2734.0,0.134101906594
469,Mark Jackson,32.0,0.09,2402.0,0.13,2643.0,0.097,3054.0,0.15,2413.0,0.105677781344
470,Tyrone Hill,29.0,0.138,2397.0,0.101,929.0,0.184,2582.0,0.113,2064.0,0.148008038258
471,J.R. Smith,22.0,0.006,1859.0,0.06,989.0,0.12,1471.0,0.126,1421.0,0.107721132824
473,Anthony Tolliver,29.0,0.049,882.0,0.059,963.0,0.117,1298.0,0.092,1432.0,0.105625877643
474,Dirk Nowitzki,31.0,0.278,2820.0,0.223,2769.0,0.171,3050.0,0.194,3039.0,0.164222708923
476,Andrew Bynum,22.0,0.112,1793.0,0.23,1008.0,0.184,1446.0,0.188,1977.0,0.154247162993
479,Rasual Butler,26.0,0.002,1514.0,0.113,675.0,0.068,1203.0,0.045,1875.0,0.0931889751773
481,Malik Rose,26.0,0.044,429.0,0.204,608.0,0.12,1341.0,0.131,1219.0,0.120881987765
482,Ramon Sessions,26.0,0.031,1732.0,0.099,2133.0,0.104,1707.0,0.084,1652.0,0.104448596797
483,Nicolas Batum,25.0,0.126,2522.0,0.127,1791.0,0.099,2807.0,0.128,2956.0,0.10839213924
486,Josh McRoberts,25.0,0.134,524.0,0.147,1597.0,0.095,718.0,0.072,1487.0,0.115617745594
487,Kyle Korver,30.0,0.095,1874.0,0.13,952.0,0.149,1649.0,0.172,1469.0,0.126784665675
488,Steven Hunter,23.0,0.094,516.0,0.099,447.0,0.034,789.0,0.121,1046.0,0.0899372159141
492,Jerryd Bayless,26.0,0.139,705.0,0.108,1765.0,0.069,1686.0,0.066,1717.0,0.094682233734
496,Kendrick Perkins,25.0,0.042,1576.0,0.156,1912.0,0.119,2253.0,0.117,2154.0,0.121234929634
499,Nene Hilario,32.0,0.117,1110.0,0.116,1659.0,0.098,1560.0,0.086,1693.0,0.105674981243
500,Roy Hibbert,28.0,0.154,1937.0,0.129,2269.0,0.108,2409.0,0.105,1926.0,0.113367388884
502,Matt Barnes,28.0,0.075,631.0,0.099,1813.0,0.077,1414.0,0.069,2082.0,0.0960908448169
504,Steve Nash,27.0,0.037,1269.0,0.094,1532.0,0.169,2387.0,0.167,2837.0,0.135495128792
505,Derek Fisher,33.0,0.08,2222.0,0.107,2589.0,0.083,2287.0,0.121,2249.0,0.0960668088262
507,Andrea Bargnani,24.0,0.057,1629.0,0.036,1861.0,0.076,2453.0,0.072,2799.0,0.083208974393
508,Jalen Rose,29.0,0.069,1238.0,0.118,2978.0,0.119,2943.0,0.087,3153.0,0.115084640738
509,Fred Jones,29.0,0.069,1837.0,0.044,1319.0,0.061,1757.0,0.052,1495.0,0.0802169929868
510,Arvydas Sabonis*,35.0,0.205,1762.0,0.2,2333.0,0.207,1349.0,0.203,1688.0,0.16065245829
511,Jalen Rose,25.0,0.103,1798.0,0.065,2134.0,0.086,1188.0,0.092,1706.0,0.0940320634145
512,Donyell Marshall,25.0,0.065,934.0,0.059,1022.0,0.078,2611.0,0.117,1250.0,0.0892898922144
514,Voshon Lenard,27.0,0.129,2621.0,0.073,190.0,0.1,1434.0,0.072,2331.0,0.10635407103
515,LaPhonso Ellis,29.0,0.087,2002.0,0.025,2575.0,0.074,539.0,0.07,1309.0,0.0784912282518
516,Carlos Boozer,24.0,0.139,2049.0,0.174,2592.0,0.111,1772.0,0.162,1025.0,0.127172274825
517,Marreese Speights,25.0,0.101,1016.0,0.11,734.0,0.096,1345.0,0.104,1300.0,0.105720063854
518,Tom Hammonds,30.0,0.129,956.0,0.081,1045.0,0.046,1758.0,0.102,1140.0,0.0795811674452
519,DeMar DeRozan,25.0,0.054,2206.0,0.075,3013.0,0.141,3017.0,0.09,2100.0,0.118017207685
520,Robert Horry,31.0,0.109,744.0,0.161,1685.0,0.078,1587.0,0.154,2140.0,0.1056043555
521,Drew Gooden,27.0,0.145,2174.0,0.139,2238.0,0.074,2122.0,0.102,1264.0,0.101489171615
522,Dana Barros,32.0,0.065,708.0,0.16,1686.0,0.139,1156.0,0.103,1139.0,0.12640556121
523,Sebastian Telfair,23.0,0.017,1641.0,0.015,1578.0,0.018,1933.0,0.019,2095.0,0.0563875354608
524,Elden Campbell,32.0,0.126,1784.0,0.14,1459.0,0.105,2538.0,0.131,2337.0,0.11042578372
526,Carlos Boozer,30.0,0.105,1197.0,0.178,2673.0,0.149,1882.0,0.187,1948.0,0.139305802433
529,Ryan Gomes,28.0,0.096,2434.0,0.046,2614.0,0.052,2210.0,0.057,2095.0,0.0724611260817
530,Jamal Crawford,27.0,0.075,2688.0,0.084,2555.0,0.069,2198.0,0.076,3190.0,0.0869598522661
532,Jerry Stackhouse,26.0,0.089,2545.0,0.076,1188.0,0.111,3148.0,0.137,3215.0,0.107787494835
533,Dante Cunningham,25.0,0.129,707.0,0.06,1637.0,0.147,1124.0,0.084,2010.0,0.113550833203
534,Jason Kidd,34.0,0.143,2435.0,0.163,2975.0,0.152,2933.0,0.097,2906.0,0.139449118427
536,Earl Watson,25.0,0.076,964.0,0.08,1366.0,0.052,1669.0,0.062,1808.0,0.0831249415711
537,Jeff McInnis,27.0,0.019,427.0,0.027,597.0,0.117,2831.0,0.081,3030.0,0.109714521821
540,Damon Stoudamire,31.0,0.113,2796.0,0.059,1315.0,0.091,3118.0,0.099,2762.0,0.0942489883407
542,Caron Butler,31.0,0.083,2585.0,0.061,2783.0,0.067,867.0,0.059,1871.0,0.0852256868771
543,Monty Williams,28.0,0.042,1345.0,0.086,1314.0,-0.341,6.0,0.099,1501.0,0.101217284563
544,Brad Miller,31.0,0.198,2089.0,0.15,2923.0,0.072,1783.0,0.125,2513.0,0.107731277449
545,Vinny Del Negro,32.0,0.144,2766.0,0.066,2243.0,0.104,1721.0,0.07,1093.0,0.0995340811452
549,Tony Parker,22.0,0.08,2267.0,0.134,2774.0,0.14,2577.0,0.141,2735.0,0.13044764448
550,Tyrone Hill,30.0,0.101,929.0,0.184,2582.0,0.113,2064.0,0.095,1104.0,0.126078025835
551,Richard Hamilton,26.0,0.087,2203.0,0.132,2640.0,0.141,2772.0,0.121,2926.0,0.129073536727
553,Jrue Holiday,24.0,0.092,2196.0,0.055,2926.0,0.064,1143.0,0.124,1303.0,0.0834013782546
554,Sasha Pavlovic,24.0,0.046,862.0,0.03,813.0,0.098,1534.0,0.006,1188.0,0.0986006985709
555,Gerald Wallace,30.0,0.177,3119.0,0.111,2693.0,0.112,2076.0,0.072,2076.0,0.113016418379
556,Kyle Lowry,24.0,0.078,2089.0,0.103,1679.0,0.126,1651.0,0.13,2563.0,0.115675601193
557,Eddie Jones,33.0,0.16,3156.0,0.162,1789.0,0.146,2998.0,0.135,2839.0,0.135448366959
558,Robin Lopez,26.0,0.115,895.0,0.126,2136.0,0.176,2603.0,0.15,1638.0,0.145413685191
559,Vitaly Potapenko,26.0,0.076,1394.0,0.066,1797.0,0.087,1901.0,0.111,1343.0,0.0934209070398
560,John Salmons,27.0,0.064,1603.0,0.066,993.0,0.04,2059.0,0.081,2135.0,0.0726866689042
561,Antonio Davis,29.0,0.095,1030.0,0.137,2092.0,0.106,2335.0,0.162,2191.0,0.112208910996
562,Daniel Gibson,23.0,0.098,988.0,0.111,1765.0,0.101,1795.0,0.117,1068.0,0.108397370349
564,Russell Westbrook,26.0,0.163,2331.0,0.195,2861.0,0.178,1412.0,0.222,2302.0,0.155346439929
565,Craig Smith,26.0,0.121,1537.0,0.109,1547.0,0.104,1460.0,0.117,1232.0,0.108712100397
567,Jalen Rose,32.0,0.087,3153.0,0.052,3351.0,0.029,2497.0,0.085,2710.0,0.0612680719179
568,Will Bynum,30.0,0.054,1667.0,0.066,1125.0,-0.022,514.0,0.067,1219.0,0.0777267928701
569,Jason Richardson,25.0,0.066,2698.0,0.085,2936.0,0.1,2724.0,0.122,2877.0,0.100226064304
571,Kobe Bryant,22.0,0.147,2056.0,0.13,1896.0,0.202,2524.0,0.196,2783.0,0.161220929541
572,Brendan Haywood,33.0,0.137,2355.0,0.104,1331.0,0.114,1146.0,0.006,1162.0,0.110209480907
573,Kurt Thomas,30.0,0.127,1971.0,0.185,2125.0,0.112,2771.0,0.1,2577.0,0.122424100592
578,Raef LaFrentz,26.0,0.116,2435.0,0.132,2457.0,0.125,2455.0,0.173,1611.0,0.121796369906
579,Antonio Daniels,32.0,0.16,2026.0,0.111,2283.0,0.116,1761.0,0.099,2161.0,0.112820624539
583,Jeremy Lin,25.0,0.078,285.0,0.14,940.0,0.099,2640.0,0.103,2054.0,0.107529661795
585,Joe Johnson,33.0,0.145,2127.0,0.092,2642.0,0.091,2575.0,0.07,2791.0,0.0977112198096
587,Rashard Lewis,23.0,0.125,1575.0,0.142,2720.0,0.16,2585.0,0.122,3044.0,0.14200979434
589,Mike Dunleavy,29.0,0.095,2580.0,0.138,2953.0,0.048,495.0,0.075,1486.0,0.109908585284
591,Earl Boykins,29.0,0.127,1321.0,0.105,1849.0,0.133,2162.0,0.09,1542.0,0.119352790768
594,Caron Butler,29.0,0.103,2474.0,0.15,2314.0,0.083,2585.0,0.061,2783.0,0.10384688037
595,Tim Duncan,31.0,0.245,2203.0,0.187,2784.0,0.23,2726.0,0.201,2651.0,0.182559819594
597,Raja Bell,34.0,0.082,2646.0,0.074,2315.0,0.131,180.0,0.04,2097.0,0.0975575035309
598,Clifford Robinson,34.0,0.144,2359.0,0.146,1740.0,0.162,2839.0,0.095,2751.0,0.140184700729
600,Bruce Bowen,31.0,0.064,878.0,0.075,2685.0,0.054,1699.0,0.096,2566.0,0.0806283682476
601,Ronny Turiaf,28.0,0.137,1458.0,0.101,1696.0,0.078,872.0,0.134,1141.0,0.100938021223
602,Kris Humphries,25.0,0.096,925.0,0.125,265.0,0.074,1221.0,0.125,2061.0,0.0978195780665
604,Ronnie Brewer,26.0,0.126,2605.0,0.103,1742.0,0.147,1781.0,0.113,1635.0,0.124866524624
605,Adonal Foyle,26.0,0.087,614.0,0.055,1654.0,0.022,1457.0,0.039,1485.0,0.0693667937476
606,James Posey,32.0,0.104,1914.0,0.13,1919.0,0.164,1821.0,0.095,2140.0,0.133401662805
607,Brian Grant,32.0,0.103,2256.0,0.139,2641.0,0.101,2303.0,0.068,1136.0,0.110842824409
609,Jermaine O'Neal,26.0,0.113,2707.0,0.177,2864.0,0.155,2788.0,0.118,1530.0,0.145139179554
612,Eddie Jones,29.0,0.166,2910.0,0.153,1881.0,0.172,2807.0,0.166,2282.0,0.148192831814
613,Maurice Evans,32.0,0.135,1720.0,0.099,1840.0,0.114,1317.0,0.054,1549.0,0.108931466347
614,Gary Payton*,34.0,0.195,3425.0,0.16,3244.0,0.183,3301.0,0.136,3208.0,0.156503460857
615,Antawn Jamison,31.0,0.1,2605.0,0.119,3288.0,0.123,2662.0,0.144,3061.0,0.116661488961
616,Lindsey Hunter,27.0,-0.015,944.0,0.089,2138.0,0.101,3023.0,0.077,2505.0,0.101197834546
617,Darius Miles,23.0,0.074,2227.0,-0.032,2008.0,0.083,2079.0,0.036,1699.0,0.0750740378116
618,Doug Christie,29.0,0.107,3127.0,0.066,2939.0,0.113,1768.0,0.108,2264.0,0.100091722249
619,Antawn Jamison,32.0,0.119,3288.0,0.123,2662.0,0.144,3061.0,0.126,3096.0,0.128133352503
620,Ben Gordon,26.0,0.152,2704.0,0.106,2291.0,0.11,2999.0,0.059,1730.0,0.111397915203
623,Bonzi Wells,28.0,0.122,2348.0,0.08,2396.0,0.023,1872.0,0.1,1489.0,0.0709157806293
626,Joe Johnson,25.0,0.047,3331.0,0.112,3240.0,0.086,3340.0,0.105,2359.0,0.0976479850284
628,Paul Pierce,35.0,0.165,2411.0,0.201,2774.0,0.161,2075.0,0.135,2575.0,0.149388973962
629,Vladimir Stepania,26.0,-0.08,202.0,0.035,280.0,0.094,884.0,0.089,1594.0,0.101904779714
631,Milt Palacio,27.0,0.004,1976.0,-0.02,1211.0,0.054,1533.0,0.008,1376.0,0.0694780703012
632,Chase Budinger,26.0,0.111,1298.0,0.066,508.0,0.059,751.0,0.049,1286.0,0.0943627233612
634,Muggsy Bogues,35.0,0.127,1880.0,0.053,1570.0,0.117,714.0,0.102,1731.0,0.0995629224213
635,Bobby Jackson,32.0,0.157,1676.0,0.124,1185.0,0.126,536.0,0.095,1775.0,0.115721167274
638,Michael Smith,26.0,0.108,1384.0,0.102,2526.0,0.096,1053.0,0.099,1098.0,0.104996247578
639,Brandon Roy,26.0,0.138,2792.0,0.223,2903.0,0.18,2419.0,0.077,1310.0,0.165808587188
640,Jarvis Hayes,25.0,0.012,2044.0,0.051,1560.0,0.065,516.0,0.045,1626.0,0.0875135161072
641,Nicolas Batum,24.0,0.181,918.0,0.126,2522.0,0.127,1791.0,0.099,2807.0,0.122589871201
644,Michael Redd,25.0,0.155,1417.0,0.167,2316.0,0.154,3021.0,0.105,2848.0,0.143832066978
646,Manu Ginobili,36.0,0.195,2426.0,0.257,792.0,0.155,1393.0,0.176,1550.0,0.140621287775
647,Zaza Pachulia,28.0,0.121,1089.0,0.118,1244.0,0.147,1640.0,0.116,1134.0,0.125867882225
648,Matt Harpring,31.0,0.102,2584.0,0.115,1944.0,0.115,1965.0,0.096,1374.0,0.111827487396
650,Kobe Bryant,27.0,0.21,3401.0,0.21,2447.0,0.145,2689.0,0.224,3277.0,0.147950096901
652,Bobby Jackson,28.0,0.062,941.0,0.101,1034.0,0.091,1648.0,0.148,1750.0,0.100403349849
653,Kelvin Cato,28.0,0.128,1581.0,0.128,624.0,0.133,1917.0,0.145,1247.0,0.122057041499
654,Gary Trent,28.0,0.014,301.0,0.057,319.0,0.125,1140.0,0.128,1222.0,0.112460039967
657,Luc Mbah a Moute,26.0,0.122,1866.0,0.109,2093.0,0.112,1009.0,0.017,1326.0,0.11143673937
658,Melvin Ely,27.0,0.048,802.0,0.039,510.0,0.004,1649.0,0.072,1348.0,0.0592080065533
659,Aaron Williams,30.0,0.11,458.0,0.15,1545.0,0.107,2336.0,0.154,1546.0,0.1132406054
661,Metta World Peace,26.0,0.15,2317.0,0.141,2714.0,0.219,291.0,0.081,2207.0,0.131969350621
662,Steven Hunter,25.0,0.034,789.0,0.121,1046.0,0.09,1312.0,0.085,1605.0,0.104207979989
663,Ramon Sessions,25.0,0.123,2173.0,0.031,1732.0,0.099,2133.0,0.104,1707.0,0.0949810716243
665,Travis Best,26.0,0.057,571.0,0.096,2064.0,0.103,1547.0,0.097,1043.0,0.105000477628
666,Dwight Howard,22.0,0.131,2670.0,0.137,3021.0,0.154,3023.0,0.2,3088.0,0.140152915515
667,Chauncey Billups,31.0,0.202,2866.0,0.254,2925.0,0.216,2533.0,0.257,2522.0,0.187929857361
668,Quentin Richardson,25.0,0.036,1368.0,0.05,2338.0,0.098,2839.0,0.023,1442.0,0.0939673628969
669,Trevor Ariza,28.0,0.062,2600.0,0.078,1350.0,0.102,1471.0,0.141,2723.0,0.100648290842
670,Matt Maloney,29.0,0.047,2217.0,-0.083,186.0,0.028,1175.0,0.053,1403.0,0.0730044898254
671,Chris Bosh,30.0,0.165,2007.0,0.175,2454.0,0.152,2531.0,0.111,1556.0,0.14163417852
672,Rod Strickland,34.0,0.129,3020.0,0.12,1632.0,0.081,2188.0,0.076,1371.0,0.09797504193
673,Gerald Green,29.0,0.072,781.0,0.056,1080.0,0.126,2330.0,0.065,1446.0,0.112077992387
674,Richard Jefferson,31.0,0.109,2939.0,0.113,2520.0,0.115,2459.0,0.085,1748.0,0.111976288392
675,Leandro Barbosa,24.0,0.061,1500.0,0.081,1087.0,0.115,1592.0,0.151,2613.0,0.109166873682
676,Clifford Robinson,32.0,0.13,2980.0,0.103,3077.0,0.144,2359.0,0.146,1740.0,0.122119774333
678,Travis Outlaw,22.0,0.067,19.0,0.085,793.0,0.039,1153.0,0.072,1532.0,0.085045650607
679,Marcin Gortat,30.0,0.172,2114.0,0.086,1876.0,0.146,2655.0,0.168,2453.0,0.125107061877
680,Anderson Varejao,31.0,0.105,994.0,0.131,785.0,0.173,901.0,0.144,1800.0,0.12903976864
681,Vlade Divac,35.0,0.147,2420.0,0.145,2420.0,0.141,2384.0,0.11,2317.0,0.129239469471
683,Avery Bradley,23.0,-0.139,162.0,0.085,1368.0,0.012,1435.0,0.046,1855.0,0.0708115446869
684,Matt Barnes,34.0,0.142,1440.0,0.146,2058.0,0.097,1735.0,0.091,2271.0,0.110965186192
685,Udonis Haslem,28.0,0.134,2491.0,0.099,2483.0,0.067,1805.0,0.106,2560.0,0.0924432579894
688,Doug Christie,32.0,0.108,2264.0,0.141,2939.0,0.148,2798.0,0.157,2710.0,0.132650755983
690,Carlos Boozer,31.0,0.178,2673.0,0.149,1882.0,0.187,1948.0,0.108,2546.0,0.149205565295
693,Vin Baker,27.0,0.089,3319.0,0.127,3159.0,0.169,2944.0,0.016,1162.0,0.140667705243
694,Richard Hamilton,27.0,0.132,2640.0,0.141,2772.0,0.121,2926.0,0.13,2825.0,0.12207932705
695,Derek Fisher,30.0,0.134,1974.0,0.088,2829.0,0.066,1769.0,0.08,2222.0,0.0892228848115
696,Derek Fisher,31.0,0.088,2829.0,0.066,1769.0,0.08,2222.0,0.107,2589.0,0.0888673525078
697,Alonzo Mourning*,36.0,0.14,215.0,0.08,702.0,0.176,1302.0,0.107,1572.0,0.130038878355
698,Trenton Hassell,27.0,0.084,2264.0,0.063,2068.0,0.044,2514.0,0.056,2223.0,0.0712862181018
700,James Posey,29.0,0.104,2518.0,0.195,2451.0,0.079,1382.0,0.104,1914.0,0.119167751807
702,Jason Thompson,26.0,0.081,2357.0,0.079,1748.0,0.114,1657.0,0.075,2285.0,0.106169408392
704,Mo Williams,24.0,0.011,772.0,0.046,2254.0,0.079,1531.0,0.061,2472.0,0.0857490486236
707,Steve Novak,29.0,0.043,362.0,0.196,215.0,0.181,1020.0,0.116,1641.0,0.135642112599
708,Dahntay Jones,28.0,0.029,967.0,0.019,1671.0,0.096,206.0,0.067,1426.0,0.0849175952175
712,Steve Nash,37.0,0.14,2484.0,0.178,2660.0,0.153,2497.0,0.144,1961.0,0.140504890454
714,Calbert Cheaney,30.0,0.016,1266.0,0.029,1309.0,-0.035,153.0,0.037,1631.0,0.0817567844177
715,Jason Williams,29.0,0.02,2236.0,0.094,2407.0,0.122,2115.0,0.106,1952.0,0.109011122154
716,Andrew DeClercq,26.0,0.07,1065.0,0.108,1523.0,0.136,1102.0,0.077,1831.0,0.117508496382
