,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,avg,proj_marcel,hybrid_pred
173,Andray Blatche,22.0,0.026,175.0,0.033,682.0,0.085,1675.0,0.039,1703.0,0.11,0.0811236761401,0.0947590768337
175,Jerome Williams,26.0,0.049,177.0,0.166,1305.0,0.201,1154.0,0.174,2102.0,0.11,0.182484296211,0.173770800233
178,Kevin Willis,38.0,0.114,2528.0,0.093,1216.0,0.066,1679.0,0.081,1830.0,0.11,0.0805237124872,0.0654627978802
179,Elton Brand,31.0,0.08,274.0,0.047,920.0,0.073,2297.0,0.161,2809.0,0.11,0.0715688744858,0.0704403221607
180,Kenny Thomas,29.0,0.118,2699.0,0.096,2167.0,0.115,2293.0,0.041,1412.0,0.11,0.110380252714,0.10704831779
181,Marcus Camby,37.0,0.129,1925.0,0.142,2314.0,0.116,1540.0,0.127,1352.0,0.11,0.124939195151,0.105038076639
182,Al-Farouq Aminu,23.0,0.022,1452.0,0.044,1477.0,0.073,2066.0,0.072,2045.0,0.11,0.0664969566554,0.0805196613073
184,Brandon Rush,26.0,0.024,1803.0,0.047,2491.0,0.07,1754.0,0.099,1717.0,0.11,0.0608785803497,0.0703436881304
185,Jordan Crawford,25.0,-0.026,1027.0,0.029,1753.0,0.052,1709.0,0.073,1859.0,0.11,0.0452375928146,0.0588398128748
186,Marcin Gortat,29.0,0.152,2032.0,0.172,2114.0,0.086,1876.0,0.146,2655.0,0.11,0.120589441713,0.115731224418
187,Dorell Wright,25.0,0.096,1104.0,-0.086,73.0,0.137,1496.0,0.088,3147.0,0.11,0.129144748913,0.13020388782
192,Wesley Johnson,26.0,0.03,2069.0,0.021,1469.0,0.0,953.0,0.041,2240.0,0.11,0.0213654648532,0.0367373973131
195,Ben Wallace,31.0,0.176,2873.0,0.16,3050.0,0.153,2671.0,0.168,2890.0,0.11,0.155578080755,0.141891226172
197,Gerald Wallace,27.0,0.141,2640.0,0.094,2376.0,0.172,2669.0,0.177,3119.0,0.11,0.147016972615,0.141806259751
198,Kyle Lowry,25.0,0.103,1679.0,0.126,1651.0,0.13,2563.0,0.156,1510.0,0.11,0.128476794175,0.129636093974
199,Mark Bryant,33.0,0.107,1587.0,0.109,1018.0,0.109,1110.0,0.06,1204.0,0.11,0.108945606629,0.098631978035
201,Kris Humphries,28.0,0.125,2061.0,0.118,2162.0,0.109,1191.0,0.143,1376.0,0.11,0.115433335762,0.113145008683
202,Travis Outlaw,24.0,0.039,1153.0,0.072,1532.0,0.071,2186.0,0.113,2246.0,0.11,0.0732479829179,0.0844620913267
203,DeMarre Carroll,28.0,0.069,348.0,0.134,1111.0,0.119,2341.0,0.154,2189.0,0.11,0.121063153409,0.117932990193
204,Dion Glover,24.0,0.029,446.0,0.04,929.0,0.037,1156.0,0.065,1890.0,0.11,0.0460368051449,0.0613187551498
207,Bruce Bowen,33.0,0.054,1699.0,0.096,2566.0,0.098,2624.0,0.111,2627.0,0.11,0.0946299145841,0.086455732584
208,Marvin Williams,22.0,0.069,1952.0,0.051,2179.0,0.099,2765.0,0.14,2093.0,0.11,0.0877786461925,0.100418955088
209,Pete Chilcutt,29.0,0.074,1347.0,0.101,651.0,0.08,662.0,0.067,1420.0,0.11,0.0892472447454,0.089074447751
211,Brevin Knight,28.0,0.054,1457.0,0.058,1151.0,0.008,928.0,0.078,1037.0,0.11,0.0390780339677,0.0482041835785
212,Ricky Davis,25.0,0.068,1954.0,0.046,3131.0,0.085,2474.0,0.074,2696.0,0.11,0.0726399343153,0.0821460932493
215,J.J. Redick,27.0,0.098,1111.0,0.173,1808.0,0.142,1513.0,0.142,1765.0,0.11,0.14875056068,0.143280550838
216,Boris Diaw,27.0,0.097,2268.0,0.063,2308.0,0.082,2754.0,0.103,2906.0,0.11,0.0802800772787,0.08504588902
217,Eric Snow,31.0,0.119,2225.0,0.13,3108.0,0.09,2966.0,0.05,1844.0,0.11,0.104938382397,0.0988214761019
218,Marc Gasol,29.0,0.146,2586.0,0.166,2370.0,0.197,2796.0,0.137,1970.0,0.11,0.181193732329,0.167275711894
220,Malik Rose,31.0,0.13,1933.0,0.145,1256.0,0.085,1475.0,0.021,1119.0,0.11,0.107060126284,0.100626036525
221,Devin Brown,29.0,0.145,1238.0,0.041,1711.0,0.102,1662.0,0.064,1762.0,0.11,0.0881672361491,0.0881559103727
223,Keyon Dooling,23.0,0.056,1237.0,-0.01,155.0,0.016,969.0,0.013,1137.0,0.11,0.0338587866791,0.0527605116367
224,Lamond Murray,25.0,0.032,1816.0,0.078,1295.0,0.092,2579.0,0.01,1317.0,0.11,0.0871571217122,0.0944932252169
225,Kevin Durant,24.0,0.238,3239.0,0.189,3038.0,0.23,2546.0,0.291,3119.0,0.11,0.217613638921,0.207246735692
226,David West,33.0,0.152,2451.0,0.147,1925.0,0.179,2435.0,0.157,2472.0,0.11,0.164544872761,0.145919695497
228,Gary Trent,24.0,0.065,1219.0,0.139,1918.0,0.11,1360.0,0.14,1362.0,0.11,0.119761333705,0.124022424221
229,Kevin Martin,25.0,0.137,1913.0,0.173,2818.0,0.183,2216.0,0.117,1947.0,0.11,0.175738015082,0.169832125306
231,Lamond Murray,26.0,0.078,1295.0,0.092,2579.0,0.01,1317.0,0.067,2365.0,0.11,0.057154604621,0.0671764165163
232,Steve Nash,30.0,0.167,2837.0,0.206,2711.0,0.162,2612.0,0.203,2573.0,0.11,0.173425596671,0.158869609237
233,Luke Ridnour,25.0,0.051,1114.0,0.1,2571.0,0.081,2625.0,0.052,2091.0,0.11,0.0881906612178,0.0953719466925
236,Lance Stephenson,24.0,-0.031,442.0,0.115,2278.0,0.13,2752.0,-0.026,1573.0,0.11,0.124758376177,0.128272563219
237,Dirk Nowitzki,25.0,0.224,3125.0,0.222,2891.0,0.249,3117.0,0.19,2915.0,0.11,0.237972464189,0.222763255239
238,Jason Richardson,26.0,0.085,2936.0,0.1,2724.0,0.122,2877.0,0.085,1675.0,0.11,0.113181743251,0.114828273654
239,Nick Anderson,32.0,0.093,2163.0,0.149,1701.0,0.118,1581.0,0.064,2094.0,0.11,0.123267716792,0.112611487508
241,Jared Dudley,29.0,0.121,2020.0,0.106,2170.0,0.068,1729.0,0.116,1717.0,0.11,0.0884959689778,0.0884352773428
242,Marcus Camby,35.0,0.155,2369.0,0.148,2758.0,0.129,1925.0,0.142,2314.0,0.11,0.136327526946,0.118322014809
243,Ricky Davis,24.0,0.139,70.0,0.068,1954.0,0.046,3131.0,0.085,2474.0,0.11,0.0552105285272,0.0691212266684
244,Tracy McGrady,31.0,0.115,2440.0,0.108,1181.0,0.018,673.0,0.061,1686.0,0.11,0.0776521056019,0.0756141841412
245,Steve Nash,36.0,0.181,2780.0,0.14,2484.0,0.178,2660.0,0.153,2497.0,0.11,0.163290069399,0.139454960823
247,Chauncey Billups,26.0,0.023,305.0,0.098,1790.0,0.156,2355.0,0.204,2327.0,0.11,0.138692499268,0.136525198817
249,Steve Blake,26.0,0.026,1392.0,0.02,648.0,0.076,1781.0,0.045,2225.0,0.11,0.0679235568681,0.0763357430696
250,Kevin Garnett,34.0,0.265,2328.0,0.193,1772.0,0.171,2060.0,0.194,2220.0,0.11,0.182581011131,0.159460052848
251,Stephon Marbury,24.0,0.134,1895.0,0.123,2881.0,0.147,2557.0,0.107,3187.0,0.11,0.139750447495,0.141023471951
255,Eddie House,25.0,0.035,550.0,0.036,1230.0,0.032,1025.0,0.027,1188.0,0.11,0.0421087668102,0.0561788827181
256,P.J. Brown,31.0,0.152,2362.0,0.153,1611.0,0.143,2302.0,0.137,2811.0,0.11,0.144473980544,0.132447198033
258,Rick Fox,28.0,0.128,1039.0,0.095,2588.0,0.094,2650.0,0.093,2709.0,0.11,0.0968841642564,0.0973685234785
260,Ronald Murray,30.0,0.042,1477.0,0.024,874.0,0.076,1975.0,0.051,1673.0,0.11,0.0676146828241,0.0688763856888
261,Jason Thompson,27.0,0.079,1748.0,0.114,1657.0,0.075,2285.0,0.064,2007.0,0.11,0.0870553915058,0.0908082574606
262,Raymond Felton,27.0,0.066,3086.0,0.118,2643.0,0.094,2737.0,0.042,1906.0,0.11,0.0991398426197,0.101086094975
263,Ben Gordon,29.0,0.059,1730.0,0.037,2131.0,0.058,1398.0,-0.018,1560.0,0.11,0.0541520393201,0.05922549963
264,Chris Carr,25.0,0.096,830.0,0.046,1165.0,0.026,445.0,-0.012,1166.0,0.11,0.0550507334544,0.067186191678
265,Kendall Gill,34.0,0.076,2355.0,-0.021,892.0,0.023,1410.0,0.043,2068.0,0.11,0.0301633293627,0.029826849699
266,Carmelo Anthony,30.0,0.16,1876.0,0.184,2482.0,0.172,2982.0,0.097,1428.0,0.11,0.172013855362,0.157669082284
267,Morris Peterson,29.0,0.11,2148.0,0.098,2510.0,0.09,3140.0,0.091,1515.0,0.11,0.0944939342277,0.0935365408659
268,Randy Foye,28.0,0.059,2494.0,0.064,1667.0,0.051,1551.0,0.092,1682.0,0.11,0.0599324573834,0.0659409314394
269,Francisco Garcia,31.0,0.081,575.0,0.104,1386.0,0.048,798.0,0.059,1029.0,0.11,0.0787823816974,0.0765754580498
270,Tim Duncan,26.0,0.218,2875.0,0.2,3174.0,0.257,3329.0,0.248,3181.0,0.11,0.235288896086,0.218681827188
271,Othella Harrington,29.0,0.054,2677.0,0.067,1815.0,0.092,1563.0,0.098,1850.0,0.11,0.080767367164,0.0818621069193
272,Eddie Jones,28.0,0.154,2998.0,0.166,2910.0,0.153,1881.0,0.172,2807.0,0.11,0.156686585903,0.148231163621
274,J.R. Smith,27.0,0.062,2082.0,0.121,1968.0,0.122,967.0,0.12,2678.0,0.11,0.113812489084,0.113565579057
276,Carlos Boozer,33.0,0.187,1948.0,0.108,2546.0,0.076,2141.0,0.062,1692.0,0.11,0.0967741762181,0.0882796049118
277,Kendall Gill,31.0,0.132,3199.0,0.104,2733.0,0.076,1606.0,0.076,2355.0,0.11,0.0961944097231,0.0913848131895
278,Amar'e Stoudemire,24.0,0.105,2025.0,0.243,2889.0,0.085,50.0,0.201,2689.0,0.11,0.209202438014,0.200093135238
280,Al Horford,28.0,0.18,348.0,0.153,2756.0,0.141,958.0,0.179,2318.0,0.11,0.147302373983,0.140250012279
281,Vin Baker,30.0,0.016,1162.0,0.059,2849.0,0.04,2129.0,0.061,1710.0,0.11,0.0491517781879,0.0531733334064
282,Juwan Howard,32.0,0.106,2730.0,0.059,2877.0,0.094,1624.0,0.069,2537.0,0.11,0.0825546247677,0.0779849290848
286,Shareef Abdur-Rahim,23.0,0.049,2802.0,0.113,2950.0,0.108,2021.0,0.132,3223.0,0.11,0.105877699062,0.114013299346
287,Shaquille O'Neal*,37.0,0.119,1135.0,0.078,1748.0,0.166,2252.0,0.119,1240.0,0.11,0.136887287432,0.115199953318
288,J.J. Hickson,26.0,0.066,1244.0,0.142,2323.0,0.086,1859.0,0.062,1411.0,0.11,0.106703764682,0.109318479896
290,Marcus Morris,25.0,-0.083,126.0,0.058,1524.0,0.111,1800.0,0.093,2045.0,0.11,0.0968300636422,0.1027200073
291,Andres Nocioni,28.0,0.062,1892.0,0.144,2239.0,0.139,1406.0,0.077,2021.0,0.11,0.132014279517,0.127247259021
292,J.R. Smith,25.0,0.126,1421.0,0.124,2245.0,0.062,2082.0,0.121,1968.0,0.11,0.0894630660554,0.0964541882277
293,David West,32.0,0.122,2949.0,0.152,2451.0,0.147,1925.0,0.179,2435.0,0.11,0.14326636918,0.12962089479
294,Jason Richardson,29.0,0.085,1675.0,0.113,3149.0,0.116,2410.0,0.128,2485.0,0.11,0.113093939453,0.10935588181
295,Mikki Moore,32.0,0.106,1178.0,0.006,583.0,0.131,2082.0,0.092,2385.0,0.11,0.114603863115,0.105243131518
297,Samuel Dalembert,25.0,0.151,2197.0,0.104,1785.0,0.097,1761.0,0.117,2535.0,0.11,0.107912647869,0.112145885825
299,Derrick Coleman,32.0,0.076,2102.0,0.1,2135.0,0.081,1178.0,0.133,2347.0,0.11,0.0896421876616,0.0840130150318
304,Earl Watson,27.0,0.052,1669.0,0.062,1808.0,0.081,1578.0,0.044,2152.0,0.11,0.0751828356345,0.0807104855776
305,Clifford Robinson,36.0,0.162,2839.0,0.095,2751.0,0.073,2855.0,0.075,2825.0,0.11,0.0882065881562,0.0755953192711
306,Francisco Elson,30.0,0.097,875.0,0.081,939.0,0.087,1579.0,0.111,1332.0,0.11,0.0887535187905,0.0868551284075
308,Sean Rooks,30.0,0.115,735.0,0.13,425.0,0.052,315.0,0.051,1001.0,0.11,0.0962657728951,0.0932445377111
309,Joe Johnson,27.0,0.086,3340.0,0.105,2359.0,0.1,3343.0,0.116,3124.0,0.11,0.100835944101,0.102528586984
310,Eric Williams,32.0,0.061,1747.0,0.123,2350.0,0.079,1886.0,0.075,1322.0,0.11,0.0936286123474,0.0874036550522
311,Jake Voskuhl,29.0,0.097,1606.0,0.075,360.0,0.061,818.0,0.077,1043.0,0.11,0.0767848790475,0.0784748345613
312,Grant Long,35.0,0.17,1380.0,0.073,920.0,0.078,1507.0,0.004,1868.0,0.11,0.0880459812754,0.0772579610348
316,Hubert Davis,28.0,0.151,1773.0,0.01,623.0,0.068,2378.0,0.057,1378.0,0.11,0.0730660324633,0.0771109312773
317,David Robinson*,33.0,0.29,3019.0,0.227,147.0,0.269,2457.0,0.261,1554.0,0.11,0.261201651242,0.228127226233
319,Mike Miller,23.0,0.106,2390.0,0.101,2123.0,0.087,2186.0,0.107,1770.0,0.11,0.0964370503764,0.105983927846
321,Gerald Wallace,31.0,0.111,2693.0,0.112,2076.0,0.072,2076.0,0.043,1416.0,0.11,0.0896555694614,0.0858234763145
322,James Harden,23.0,0.124,1738.0,0.156,2189.0,0.23,1946.0,0.206,2985.0,0.11,0.196916037718,0.191442519426
323,Luis Scola,34.0,0.08,2067.0,0.096,2184.0,0.084,1399.0,0.126,1659.0,0.11,0.0891020817074,0.0799551904202
325,DeMarcus Cousins,24.0,0.104,1950.0,0.092,2289.0,0.166,2298.0,0.144,2013.0,0.11,0.139817339236,0.141080215573
326,Ira Newble,30.0,0.089,1273.0,0.081,1931.0,0.004,1245.0,0.05,1832.0,0.11,0.0472774116366,0.0515792667866
328,Antonio Davis,31.0,0.106,2335.0,0.162,2191.0,0.151,1271.0,0.118,2479.0,0.11,0.146764586052,0.134395167232
329,Marcin Gortat,28.0,0.151,1088.0,0.152,2032.0,0.172,2114.0,0.086,1876.0,0.11,0.162812424472,0.153440967202
330,Peja Stojakovic,30.0,0.137,2534.0,0.147,2601.0,0.1,425.0,0.144,2711.0,0.11,0.134423828846,0.125698074698
331,Travis Outlaw,23.0,0.085,793.0,0.039,1153.0,0.072,1532.0,0.071,2186.0,0.11,0.0698528875214,0.0833739191294
332,Shandon Anderson,30.0,0.078,2396.0,0.013,1596.0,0.074,1731.0,0.042,1974.0,0.11,0.061290615142,0.0634976923466
333,Jason Smith,28.0,0.11,947.0,0.095,876.0,0.054,830.0,0.032,1785.0,0.11,0.0782618183026,0.0815301686525
335,Kevin Durant,23.0,0.132,2885.0,0.238,3239.0,0.189,3038.0,0.23,2546.0,0.11,0.200718556939,0.19467663765
337,Theo Ratliff,27.0,0.132,2447.0,0.159,1627.0,0.149,1795.0,0.138,1800.0,0.11,0.148715577159,0.143251255155
339,Brendan Haywood,26.0,0.125,1930.0,0.123,1484.0,0.134,1865.0,0.099,1879.0,0.11,0.130985055744,0.129969909787
340,C.J. Watson,29.0,0.093,1091.0,0.109,1159.0,0.12,1521.0,0.13,1193.0,0.11,0.115504045089,0.111406221986
341,Terry Dehere,26.0,0.013,1774.0,0.119,2018.0,0.056,1053.0,0.035,1410.0,0.11,0.0813492919103,0.0877543240786
343,Avery Johnson,34.0,0.066,2472.0,0.12,2674.0,0.111,1672.0,0.117,2571.0,0.11,0.108520535436,0.0964709818363
344,Ty Lawson,25.0,0.135,1318.0,0.153,2103.0,0.157,2124.0,0.141,2513.0,0.11,0.15480255271,0.152026429772
345,Jeff Teague,26.0,0.131,2183.0,0.111,2628.0,0.098,2542.0,0.166,2228.0,0.11,0.106504097848,0.109148815274
346,Mike Conley,24.0,0.086,2508.0,0.074,2569.0,0.111,2872.0,0.141,2174.0,0.11,0.100853533542,0.107941150665
347,Sherman Douglas,31.0,0.099,2048.0,0.068,2335.0,0.095,2316.0,0.112,1699.0,0.11,0.088166860906,0.08455696702
348,Jim McIlvaine,27.0,0.098,1477.0,0.075,1211.0,0.053,269.0,0.068,1048.0,0.11,0.0816048540364,0.0861726254225
349,Stanislav Medvedenko,24.0,0.126,39.0,0.118,729.0,0.032,620.0,0.101,1442.0,0.11,0.0741685373832,0.085245385766
350,Tyson Chandler,32.0,0.22,2061.0,0.207,2164.0,0.143,1662.0,0.216,2286.0,0.11,0.170116018463,0.15245680511
352,Glen Davis,26.0,0.108,1637.0,0.084,933.0,0.102,2298.0,0.057,1427.0,0.11,0.101897436084,0.105230644345
353,Shelden Williams,28.0,0.048,512.0,0.162,597.0,0.102,911.0,0.078,1276.0,0.11,0.113729236387,0.111695542932
356,Donyell Marshall,24.0,0.007,2086.0,0.065,934.0,0.059,1022.0,0.078,2611.0,0.11,0.0577785907374,0.071305423975
357,Mike James,33.0,0.125,2925.0,0.065,2069.0,0.023,720.0,-0.004,1649.0,0.11,0.0680561069155,0.0638545751572
360,Calbert Cheaney,27.0,0.065,2324.0,0.077,2411.0,0.069,2841.0,0.016,1266.0,0.11,0.0730809528159,0.0789228230715
361,Lou Williams,28.0,0.174,1682.0,0.103,1119.0,0.087,1445.0,0.157,2016.0,0.11,0.10318653028,0.102728947997
363,Johnny Newman,36.0,0.065,2060.0,0.06,2176.0,0.059,949.0,0.095,1763.0,0.11,0.0635245773524,0.0546030402184
364,Anfernee Hardaway,28.0,0.175,2221.0,0.085,625.0,0.122,1944.0,0.165,2253.0,0.11,0.125065613,0.12133719027
365,Willie Green,31.0,0.067,1553.0,0.052,1674.0,0.122,922.0,0.103,1188.0,0.11,0.0883611680658,0.0847225785255
366,Dickey Simpkins,27.0,0.006,395.0,0.068,433.0,0.095,1448.0,-0.021,1651.0,0.11,0.091835186134,0.0948734730482
368,Voshon Lenard,28.0,0.073,190.0,0.1,1434.0,0.072,2331.0,0.049,1665.0,0.11,0.0809171205402,0.0837884396315
370,Brandon Bass,26.0,0.124,1574.0,0.147,648.0,0.153,1980.0,0.122,1868.0,0.11,0.148982478307,0.145277187228
371,Shane Battier,34.0,0.095,2168.0,0.103,2375.0,0.104,1499.0,0.119,1786.0,0.11,0.102465372624,0.09132117033
372,J.J. Hickson,25.0,0.032,2256.0,0.066,1244.0,0.142,2323.0,0.086,1859.0,0.11,0.117165945425,0.120015785098
373,Pau Gasol,28.0,0.184,3135.0,0.155,2133.0,0.172,2351.0,0.223,2999.0,0.11,0.167206115011,0.157178327441
374,P.J. Brown,37.0,0.142,2753.0,0.118,2817.0,0.088,2380.0,0.075,1456.0,0.11,0.10270234148,0.0861252844334
378,Steve Nash,31.0,0.206,2711.0,0.162,2612.0,0.203,2573.0,0.212,2796.0,0.11,0.18737567359,0.168935254216
379,Juwan Howard,36.0,0.11,2123.0,0.016,353.0,0.067,472.0,0.077,1632.0,0.11,0.0793007583547,0.0680207908154
380,Al Harrington,22.0,0.057,854.0,0.031,1892.0,0.094,1313.0,0.075,2467.0,0.11,0.0724540925529,0.0873854011297
383,Andre Iguodala,26.0,0.12,3062.0,0.143,3242.0,0.134,3269.0,0.101,3193.0,0.11,0.136149580243,0.134362474084
385,Josh Smith,27.0,0.155,2871.0,0.116,2645.0,0.139,2329.0,0.075,2683.0,0.11,0.133693725546,0.130474880338
386,Jamal Crawford,26.0,0.069,2811.0,0.075,2688.0,0.084,2555.0,0.069,2198.0,0.11,0.0819412916476,0.0882578939199
390,Danny Granger,26.0,0.111,2785.0,0.122,2876.0,0.158,2424.0,0.131,2278.0,0.11,0.141522522212,0.138932421803
391,Paul George,23.0,0.091,1265.0,0.148,1958.0,0.145,2972.0,0.178,2898.0,0.11,0.145125395532,0.147393777966
393,Jim McIlvaine,25.0,0.074,534.0,0.074,1195.0,0.098,1477.0,0.075,1211.0,0.11,0.0939777954344,0.100294068456
394,Walt Williams,32.0,0.114,1859.0,0.09,1583.0,0.073,1117.0,0.103,1161.0,0.11,0.0869038912991,0.0816839337349
395,Ryan Gomes,27.0,0.089,2275.0,0.096,2434.0,0.046,2614.0,0.052,2210.0,0.11,0.0669042521068,0.0736694186926
397,Byron Mullens,23.0,-0.077,54.0,-0.113,85.0,0.007,1465.0,0.005,1428.0,0.11,0.0155134812713,0.0371575057507
399,Jeff Hornacek,36.0,0.19,2592.0,0.186,2460.0,0.176,1435.0,0.147,2133.0,0.11,0.176155279701,0.150396645069
400,Zaza Pachulia,25.0,0.114,2026.0,0.054,944.0,0.127,1473.0,0.121,1089.0,0.11,0.112339139219,0.115910574794
404,D.J. White,25.0,0.157,130.0,0.276,102.0,0.128,685.0,0.034,1098.0,0.11,0.137947985209,0.137691304088
405,John Salmons,33.0,0.121,2824.0,0.081,2554.0,0.014,1250.0,0.034,2278.0,0.11,0.0621744441769,0.0588522851467
407,Brandon Bass,28.0,0.153,1980.0,0.122,1868.0,0.101,2239.0,0.107,2266.0,0.11,0.112112983644,0.1103207618
409,George McCloud,32.0,0.102,1493.0,0.096,1213.0,0.127,1245.0,0.086,2118.0,0.11,0.114891838001,0.105488315225
410,Reggie Evans,28.0,0.072,1393.0,0.096,1127.0,0.068,1879.0,0.079,1137.0,0.11,0.0772258138129,0.0806490629911
414,Speedy Claxton,27.0,0.125,471.0,0.127,1595.0,0.096,1866.0,0.072,2019.0,0.11,0.107374133886,0.108089700341
416,Robert Horry,27.0,0.097,2074.0,0.089,2634.0,0.098,1395.0,0.144,2192.0,0.11,0.0959969350035,0.0984132736921
417,Shane Battier,26.0,0.074,3097.0,0.126,2383.0,0.145,1947.0,0.149,2516.0,0.11,0.129643874009,0.128829225898
418,Tyrus Thomas,23.0,0.11,966.0,0.088,1330.0,0.101,2175.0,0.103,1220.0,0.11,0.101993113088,0.11070945859
419,Delonte West,28.0,0.142,2152.0,0.106,1500.0,0.093,453.0,0.098,1060.0,0.11,0.111899679256,0.110139623284
421,Brevin Knight,31.0,0.078,1037.0,0.11,1944.0,0.101,2351.0,0.07,1273.0,0.11,0.102776826022,0.0969830602407
423,Chucky Atkins,31.0,0.053,1398.0,0.085,1544.0,0.074,2903.0,0.1,1713.0,0.11,0.0765092010732,0.0746418535709
424,Shareef Abdur-Rahim,27.0,0.126,3241.0,0.116,2980.0,0.151,3087.0,0.145,2684.0,0.11,0.1383067455,0.134398087859
425,Pooh Richardson,31.0,0.036,2864.0,0.091,2013.0,0.043,1065.0,0.006,1252.0,0.11,0.0642085488147,0.0641804933548
426,Taj Gibson,29.0,0.167,1284.0,0.109,1459.0,0.117,2351.0,0.137,1692.0,0.11,0.118554954713,0.114000841975
429,Ray Allen,33.0,0.15,3022.0,0.136,2219.0,0.177,2624.0,0.186,2876.0,0.11,0.159999918902,0.142053797841
430,LeBron James,27.0,0.318,3054.0,0.299,2966.0,0.244,3063.0,0.298,2326.0,0.11,0.264089098774,0.241377428174
431,Brad Miller,30.0,0.184,2621.0,0.198,2089.0,0.15,2923.0,0.072,1783.0,0.11,0.162654276496,0.149708494544
432,Brad Miller,26.0,0.192,961.0,0.114,1434.0,0.176,2263.0,0.202,2270.0,0.11,0.16204966238,0.156390830874
433,Ronny Turiaf,26.0,0.115,161.0,0.137,1087.0,0.137,1458.0,0.101,1696.0,0.11,0.136909642466,0.135009095073
436,Russell Westbrook,23.0,0.035,2668.0,0.105,2813.0,0.159,2847.0,0.163,2331.0,0.11,0.133508025878,0.137513145804
437,Mickael Pietrus,24.0,0.095,748.0,0.075,1340.0,0.024,1179.0,0.088,1937.0,0.11,0.0527998533456,0.0670707523823
439,Tyler Hansbrough,29.0,0.129,1442.0,0.154,1366.0,0.149,978.0,0.156,1058.0,0.11,0.14610337738,0.137431189418
441,Kyle Korver,26.0,0.119,2667.0,0.086,2563.0,0.097,2288.0,0.116,1732.0,0.11,0.0978618621939,0.101798459888
442,Mookie Blaylock,30.0,0.147,3069.0,0.149,2893.0,0.197,3056.0,0.099,2700.0,0.11,0.17564089188,0.160753950477
443,Brian Cardinal,27.0,0.201,43.0,0.051,15.0,0.212,1634.0,0.116,1433.0,0.11,0.204120949741,0.190373972058
444,Chauncey Billups,34.0,0.257,2522.0,0.174,2789.0,0.182,2490.0,0.166,2310.0,0.11,0.182219093883,0.159152045846
445,Rasheed Wallace,26.0,0.125,2896.0,0.169,1414.0,0.156,2845.0,0.18,2940.0,0.11,0.154625299559,0.150076553226
446,Gary Payton*,33.0,0.172,2008.0,0.195,3425.0,0.16,3244.0,0.183,3301.0,0.11,0.168943715368,0.149660989642
447,Shareef Abdur-Rahim,26.0,0.132,3223.0,0.126,3241.0,0.116,2980.0,0.151,3087.0,0.11,0.12192713251,0.122266247869
449,Gary Trent,29.0,0.057,319.0,0.125,1140.0,0.128,1222.0,0.106,1025.0,0.11,0.124778579449,0.11929397285
450,Michael Olowokandi,29.0,0.029,2568.0,-0.006,1369.0,0.061,925.0,0.048,1215.0,0.11,0.0387444106264,0.0461210310459
451,Devin Harris,29.0,0.057,2221.0,0.089,2254.0,0.115,1741.0,0.111,1421.0,0.11,0.100378735158,0.098541662097
452,Michael Redd,26.0,0.167,2316.0,0.154,3021.0,0.105,2848.0,0.166,3130.0,0.11,0.126628761641,0.126264825463
453,Arvydas Sabonis*,36.0,0.2,2333.0,0.207,1349.0,0.203,1688.0,0.138,1299.0,0.11,0.195886965907,0.167178526521
456,Trevor Ariza,29.0,0.078,1350.0,0.102,1471.0,0.141,2723.0,0.108,2930.0,0.11,0.128918982838,0.122815474868
457,Jason Williams,31.0,0.122,2115.0,0.106,1952.0,0.124,1874.0,0.11,1865.0,0.11,0.117916165809,0.109859392047
459,Shaun Livingston,26.0,0.074,231.0,0.07,796.0,0.073,1261.0,0.055,1092.0,0.11,0.0776492251473,0.0846071094275
460,Darrell Armstrong,30.0,0.158,41.0,0.085,1010.0,0.096,1236.0,0.205,1502.0,0.11,0.0954645818043,0.0925630182028
461,Reggie Miller*,34.0,0.2,2966.0,0.206,2795.0,0.172,1787.0,0.162,2987.0,0.11,0.183689110467,0.160402849317
462,Rudy Gay,28.0,0.12,2422.0,0.072,2687.0,0.091,2531.0,0.122,2408.0,0.11,0.0891671856418,0.0908053070307
463,Terry Porter,35.0,0.085,2072.0,0.082,1568.0,0.139,1786.0,0.178,1365.0,0.11,0.11604714917,0.101073265076
465,A.C. Green,37.0,0.095,2649.0,0.074,924.0,0.124,1929.0,0.11,1411.0,0.11,0.110069167088,0.0923906564713
467,Charles Oakley,34.0,0.138,1567.0,0.15,1775.0,0.149,2873.0,0.122,2734.0,0.11,0.145801738074,0.128179207444
469,Mark Jackson,32.0,0.09,2402.0,0.13,2643.0,0.097,3054.0,0.15,2413.0,0.11,0.105352362721,0.097374767065
470,Tyrone Hill,29.0,0.138,2397.0,0.101,929.0,0.184,2582.0,0.113,2064.0,0.11,0.165190394378,0.153664723039
471,J.R. Smith,22.0,0.006,1859.0,0.06,989.0,0.12,1471.0,0.126,1421.0,0.11,0.095979779556,0.107394263148
473,Anthony Tolliver,29.0,0.049,882.0,0.059,963.0,0.117,1298.0,0.092,1432.0,0.11,0.0993237407862,0.0976441651583
474,Dirk Nowitzki,31.0,0.278,2820.0,0.223,2769.0,0.171,3050.0,0.194,3039.0,0.11,0.192441518975,0.173243835568
476,Andrew Bynum,22.0,0.112,1793.0,0.23,1008.0,0.184,1446.0,0.188,1977.0,0.11,0.184957424554,0.183070451021
