,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,avg,proj_marcel,hybrid_pred
1365,Zydrunas Ilgauskas,32.0,0.149,2615.0,0.184,2283.0,0.148,2130.0,0.131,2222.0,0.11,0.156470573588,0.140851393342
1367,Juwan Howard,26.0,0.101,3324.0,0.086,2559.0,0.093,1430.0,0.031,2909.0,0.11,0.0939837274803,0.0984999984503
1368,Derek Anderson,31.0,0.153,2556.0,0.097,1810.0,0.052,1239.0,0.074,1047.0,0.11,0.0865293147283,0.0831642746925
1369,Chris Kaman,32.0,0.024,1372.0,0.058,1363.0,0.036,736.0,0.112,1398.0,0.11,0.0505355164559,0.050752222538
1370,Chris Paul,25.0,0.284,3006.0,0.292,3002.0,0.204,1712.0,0.232,2880.0,0.11,0.247914168612,0.231218591332
1371,Sebastian Telfair,22.0,-0.013,1330.0,0.017,1641.0,0.015,1578.0,0.018,1933.0,0.11,0.0204213730073,0.0431307405233
1372,Stacey Augmon,29.0,0.103,2362.0,0.117,2294.0,0.076,942.0,0.059,1445.0,0.11,0.100645918881,0.0987690240145
1373,Goran Dragic,26.0,0.094,1442.0,0.04,1234.0,0.139,1752.0,0.106,2581.0,0.11,0.113160205048,0.114809796214
1374,Paul Pierce,27.0,0.187,3302.0,0.157,3096.0,0.109,3099.0,0.182,2960.0,0.11,0.131878808867,0.128931060433
1378,Ray Allen,32.0,0.168,3064.0,0.15,3022.0,0.136,2219.0,0.177,2624.0,0.11,0.142940345352,0.129343524575
1381,Jason Kidd,36.0,0.152,2933.0,0.097,2906.0,0.141,2886.0,0.148,2881.0,0.11,0.126683709384,0.108320444822
1382,Sam Mack,28.0,0.103,868.0,0.071,904.0,0.037,1414.0,0.126,1083.0,0.11,0.055182614351,0.0619008988142
1383,Marquis Daniels,32.0,0.064,937.0,0.103,938.0,0.008,484.0,0.023,1085.0,0.11,0.0645459182875,0.0626682043076
1385,Kyle Lowry,28.0,0.156,1510.0,0.133,2020.0,0.197,2862.0,0.141,2414.0,0.11,0.176733185995,0.165281310678
1386,Bryant Stith,30.0,-0.018,718.0,0.019,1194.0,0.11,691.0,0.093,2504.0,0.11,0.0670856162594,0.0684264302254
1387,Tim Duncan,24.0,0.192,3204.0,0.213,1963.0,0.218,2875.0,0.2,3174.0,0.11,0.213844411391,0.204041287303
1389,Jarvis Hayes,28.0,0.045,1626.0,0.108,1287.0,0.055,1832.0,0.038,1033.0,0.11,0.069784293946,0.0743198245764
1391,Kenny Thomas,25.0,0.058,1797.0,0.058,1820.0,0.085,2484.0,0.111,1978.0,0.11,0.0792082002491,0.0877325683832
1392,Eric Gordon,26.0,0.115,310.0,0.042,1264.0,0.058,2057.0,0.069,2018.0,0.11,0.059853130433,0.069471642375
1394,Horace Grant,33.0,0.169,2286.0,0.148,2496.0,0.122,2803.0,0.118,1660.0,0.11,0.131729549041,0.118009701371
1395,Jordan Farmar,23.0,0.038,1090.0,0.111,1690.0,0.034,1192.0,0.093,1474.0,0.11,0.0693018213638,0.0829049944878
1397,Ronald Murray,26.0,-0.198,62.0,0.04,2021.0,-0.016,883.0,0.015,2112.0,0.11,0.021949755717,0.0372344702482
1398,Theo Ratliff,32.0,0.077,2518.0,0.094,2664.0,0.063,1731.0,0.074,1301.0,0.11,0.0781283213596,0.0742198526859
